,Distinction,Name,Location,Price,Cuisine
0,3 Star,Taïrroir,"Taipei, Taiwan",$$$$,Taiwanese contemporary
1,3 Star,JL Studio,"Taichung, Taiwan",$$$$,Singaporean
2,3 Star,Le Palais,"Taipei, Taiwan",$$$$,Cantonese
3,3 Star,Addison,"San Diego, USA",$$$$,Contemporary
4,3 Star,Atelier Crenn,"San Francisco, USA",$$$$,Contemporary
5,3 Star,The French Laundry,"Yountville, USA",$$$$,Contemporary
6,3 Star,Quince,"San Francisco, USA",$$$$,Contemporary
7,3 Star,SingleThread,"Healdsburg, USA",$$$$,Contemporary
8,3 Star,Benu,"San Francisco, USA",$$$$,Asian
9,3 Star,Zén,Singapore,$$$$,European Contemporary
10,3 Star,Odette,Singapore,$$$$,French Contemporary
11,3 Star,Les Amis,Singapore,$$$$,French
12,3 Star,Hiša Franko,"Kobarid, Slovenia",€€€€,Creative
13,3 Star,Frantzén,"Stockholm, Sweden",€€€€,Modern Cuisine
14,3 Star,noma,"Copenhagen, Denmark",€€€€,Creative
15,3 Star,Jordnær,"Gentofte, Denmark",€€€€,Creative
16,3 Star,Geranium,"Copenhagen, Denmark",€€€€,Creative
17,3 Star,RE-NAA,"Stavanger, Norway",€€€€,Creative
18,3 Star,Maaemo,"Oslo, Norway",€€€€,Modern Cuisine
19,3 Star,Taian,"Osaka, Japan",¥¥¥,Japanese
20,3 Star,Hyotei,"Kyoto, Japan",¥¥¥¥,Japanese
21,3 Star,HAJIME,"Osaka, Japan",¥¥¥¥,Innovative
22,3 Star,Kikunoi Honten,"Kyoto, Japan",¥¥¥¥,Japanese
23,3 Star,Isshisoden Nakamura,"Kyoto, Japan",¥¥¥¥,Japanese
24,3 Star,Mizai,"Kyoto, Japan",¥¥¥¥,Japanese
25,3 Star,Gion Sasaki,"Kyoto, Japan",¥¥¥¥,Japanese
26,3 Star,Kashiwaya Osaka Senriyama,"Osaka, Japan",¥¥¥,Japanese
27,3 Star,ES:SENZ,"Grassau, Germany",€€€€,Creative
28,3 Star,Waldhotel Sonnora,"Dreis, Germany",€€€€,Classic French
29,3 Star,The Table Kevin Fehling,"Hamburg, Germany",€€€€,Creative
30,3 Star,Aqua,"Wolfsburg, Germany",€€€€,Creative
31,3 Star,JAN,"Munich, Germany",€€€€,Creative
32,3 Star,Restaurant Bareiss,"Baiersbronn, Germany",€€€€,Classic French
33,3 Star,Rutz,"Berlin, Germany",€€€€,Modern Cuisine
34,3 Star,Victor's Fine Dining by christian bau,"Perl, Germany",€€€€,Creative
35,3 Star,schanz. restaurant.,"Piesport, Germany",€€€€,Modern French
36,3 Star,Schwarzwaldstube,"Baiersbronn, Germany",€€€€,Classic French
37,3 Star,La Table du Castellet,"Le Castellet, France",€€€€,Creative
38,3 Star,Plénitude - Cheval Blanc Paris,"Paris, France",€€€€,Creative
39,3 Star,Le Petit Nice,"Marseille, France",€€€€,Seafood
40,3 Star,Mirazur,"Menton, France",€€€€,Creative
41,3 Star,AM par Alexandre Mazzia,"Marseille, France",€€€€,Creative
42,3 Star,Pic,"Valence, France",€€€€,Creative
43,3 Star,Pierre Gagnaire,"Paris, France",€€€€,Creative
44,3 Star,Flocons de Sel,"Megève, France",€€€€,Modern Cuisine
45,3 Star,Alléno Paris au Pavillon Ledoyen,"Paris, France",€€€€,Creative
46,3 Star,L'Ambroisie,"Paris, France",€€€€,Classic Cuisine
47,3 Star,Le Pré Catelan,"Paris, France",€€€€,Creative
48,3 Star,Le Cinq,"Paris, France",€€€€,Modern Cuisine
49,3 Star,Maison Lameloise,"Chagny, France",€€€€,Modern Cuisine
50,3 Star,Le Gabriel - La Réserve Paris,"Paris, France",€€€€,Creative
51,3 Star,Épicure,"Paris, France",€€€€,Modern Cuisine
52,3 Star,Arpège,"Paris, France",€€€€,Creative
53,3 Star,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Monaco, France",€€€€,Mediterranean Cuisine
